,0,1,2,3
b540b7dd-b716-46ea-9f1a-939c03bdde9b,"LIONEL ""LEO"" AGUIRRE",,2018-01-19T19:57:37.130000-05:00,2017
cc08309b-5906-493d-a7f9-eb570cc00eaf,LEAGUE OF WOMEN VOTERS OF THE U.S.,35305.00,2018-01-22T09:36:13.560000-05:00,2017
bf9c61c3-cca0-4dff-b17e-ad663ed80fa7,"NVG, LLC",,2018-01-22T17:57:00.637000-05:00,2017
151f4cba-5ddd-4aab-9623-59ad52a54ce0,"NVG, LLC",,2018-01-22T18:14:40.133000-05:00,2017
20da1fa5-d6c8-4eb6-b5e2-c4dce5fdc999,AMERICAN CIVIL LIBERTIES UNION,246077.00,2018-01-22T20:39:53.020000-05:00,2017
9c98cafd-86a3-42cf-a3a0-cfd73086c7b4,"THE MITCHELL FIRM, INC.",,2018-01-22T23:13:50.860000-05:00,2017
3f4b7672-0a0f-4f68-8c19-e39ea11b1be4,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2018-01-23T22:05:32.677000-05:00,2017
3f4b7672-0a0f-4f68-8c19-e39ea11b1be4,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2018-01-23T22:05:32.677000-05:00,2017
30cdc993-2b6f-4df5-8969-c5e74d717bac,ANTI-DEFAMATION LEAGUE,25000.00,2018-02-01T13:27:05.690000-05:00,2017
dd539a6f-13ee-464e-9499-f94971e2b23f,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,25000.00,2018-02-01T16:25:31.113000-05:00,2017
93157ca8-8896-4172-bb04-a4a3e5fc7758,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2018-04-18T16:00:04.823000-04:00,2018
8bd2d380-2169-4325-a1ac-f1aded5c48bc,LEAGUE OF WOMEN VOTERS OF THE U.S.,19637.00,2018-04-19T11:48:29.233000-04:00,2018
a8f8d268-729e-4f06-97cc-f9159f88918b,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,20000.00,2018-04-19T17:25:04.107000-04:00,2018
51539fb8-663e-4129-b50e-d8a456074771,"MASON CONSULTING, LLC",,2018-04-20T12:40:17.770000-04:00,2018
d9f07189-de0b-4929-974b-0d3c091a0528,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),154237.00,2018-04-20T12:53:10.747000-04:00,2018
9f60be36-17fa-46af-a23d-acbfd222e19e,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2018-04-20T13:13:06.130000-04:00,2014
b8390890-04ba-47ad-8005-de8811ec2028,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2018-04-20T13:36:12.610000-04:00,2015
0f51d203-fd54-4aa2-8d35-c5013a290103,"LIONEL ""LEO"" AGUIRRE",,2018-04-20T16:23:17.803000-04:00,2018
af0cc7d0-eb05-4216-b081-e917c96b6bab,"NVG, LLC",,2018-04-20T16:45:11.967000-04:00,2018
d9aba19e-ac6c-42ff-b299-4b2f515c310f,"NVG, LLC",,2018-04-20T16:49:14.297000-04:00,2018
c37f9bd0-0704-4ac0-9ec5-e0a8f5607ee4,"THE MITCHELL FIRM, INC.",,2018-04-20T23:26:45.683000-04:00,2018
f0419073-5a9f-424a-b59d-6cfa2210273c,ANTI-DEFAMATION LEAGUE,25000.00,2018-04-30T17:12:05.847000-04:00,2018
fc98f69f-3cdd-4293-aed6-b9effbb52d2f,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2018-07-06T11:01:35.380000-04:00,2018
986c6e37-81d5-4e3c-a2cc-1a6bcb0ca5ab,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),75000.00,2018-07-18T15:54:27.980000-04:00,2018
558adf9c-520f-45c7-a08b-3aafd71d6246,LEAGUE OF WOMEN VOTERS OF THE U.S.,27740.00,2018-07-19T17:40:10.133000-04:00,2018
